Tegning,Ant,Bredde (mm),Høyde (mm),Brannsikret
V_A1-01.1,1,3320,1500,---
V_A1-01.2,1,850,1500,---
V_A1-02,1,3370,1500,---
V_A1-03,1,3370,1020,---
V_A1-04,1,3370,1500,---
V_A1-05,1,3370,1500,---
V_A1-06,1,3370,1020,---
V_A1-07,1,3370,1500,---
V_A1-08,1,3370,540,---
V_A1-09,1,3070,1020,---
V_A1-10,1,3070,1020,---
V_A1-11,1,3070,1020,---
V_A1-12,1,3070,1020,---
V_A1-13,2,1490,1490,---
V_A1-15,1,2180,1020,---
V_A1-16,1,2790,1020,---
V_A1-17.1,1,2790,1020,---
V_A1-17.2,1,890,1020,---
V_A1-19,1,2180,1020,---
V_A1-20,1,2180,1020,---
V_A1-21,1,2180,1020,---
V_A1-22,1,2180,1020,---
V_A1-24,1,580,580,---
V_A1-25,2,580,580,---
V_A1-26,3,580,580,---
V_A1-29,1,3370,1020,---
V_A1-30,1,3370,1500,---
V_A1-31.1,1,870,1500,---
V_A1.32.2,1,3370,1500,---
V_A1-38,1,3370,1500,---
V_A1-51.1,1,1010,2090,EI30
V_A1-51.2,2,2710,2090,EI30
V_A2-01.1,1,1490,990,---
V_A2-01.2,2,1990,990,---
V_A2-01.3,1,1490,990,---
V_A2-01.4,2,1410,2080,---
V_A2-01.5,1,1360,2080,---
V_A2-02.1,1,1690,990,---
V_A2-02.2,2,1490,1490,---
V_A2-03.1,1,2090,990,---
V_B1-01,1,3370,1500,---
V_B1-02,1,3350,1020,---
V_B1-05,1,3400,1020,---
V_B1-06,1,3390,1500,---
V_B1-07,1,3380,1020,---
V_B1-08,1,3370,1500,---
V_B1-010,3,480,480,---
V_B1-17.1,1,2590,1190,EI30
V_B1-12.2,1,1880,1190,EI30
V_B1-19,1,480,1980,---
V_B1-26,1,3000,1020,EI30
V_B1-27,1,3000,1500,EI30
V_B1-28.1,1,830,2080,EI30
V_B1-28.2,1,2370,1020,EI30
V_B1-29,1,3000,1020,EI30
V_B1-30,1,3410,1500,---
V_B1-31,1,3400,1020,---
V_B1-33,1,3420,1500,---
V_B1-34,1,3320,1020,---
V_B1-35.2,1,1990,1500,---
V_B1-37,1,3380,1020,---
V_B1-38,1,3400,1500,---
V_B1-39,2,480,480,---
V_B1-36.1,1,1400,1490,---
V_B1-201.1,1,2170,2070,EI30
V_B1-201.2,1,2170,2070,EI30
V_B1-201.3,1,2200,1570,EI30
V_B1-201.4,1,2170,2070,EI30
V_B1-201.5,1,2185,2070,EI30
V_B2-01.1,4,3290,1490,---
V_B2-01.2,5,3290,790,---
V_B2-02,1,590,390,---
V_B2-03,3,590,390,---
V_B2-06.1,1,2390,1690,EI30
V_B2-06.2,1,3590,1690,---
V_B2-07.1,1,2290,1490,---
V_B2-07.2,1,2290,1490,EI30
V_B2-07.3,1,3200,1200,---
V_B2-07.4,1,3200,1200,---
V_B2-16.1,1,2890,790,---
V_B2-16.2,1,1726,2390,EI30
V_C04.1,1,2380,470,---
V_C05.1,1,2250,590,---
V_C05.2,1,2640,590,---
V_C-05.3,2,590,590,---
